DATE,CSUSHPISA,PERMIT1,EMRATIO,HSN1F,HNFSEPUSSA,HOUST1F,COMPU1USA,TLRESCONS,GDP,HOUSTSFLAA1FQ,DRSFRMACBS,RSAHORUSQ156S
2007-12-01,174.342,742.0,62.7,619.0,497.0,805.0,1031.0,423699.0,14709.378,2519.6666666666665,3.486666666666667,67.86666666666667
2008-01-01,173.132,708.0,62.9,627.0,487.0,773.0,1004.0,409420.0,14706.538,2510.0,3.68,67.9
2008-02-01,171.541,664.0,62.8,593.0,477.0,724.0,930.0,393193.0,14759.592333333334,2517.6666666666665,3.9066666666666667,67.96666666666667
2008-03-01,170.053,642.0,62.7,535.0,470.0,728.0,904.0,397469.0,14812.646666666666,2525.3333333333335,4.133333333333334,68.03333333333333
2008-04-01,168.338,661.0,62.7,536.0,458.0,682.0,795.0,392801.0,14865.701,2533.0,4.36,68.1
2008-05-01,166.65900000000002,633.0,62.5,504.0,451.0,679.0,879.0,389335.0,14876.800333333333,2479.3333333333335,4.666666666666667,67.96666666666667
2008-06-01,165.017,605.0,62.4,487.0,435.0,647.0,850.0,382000.0,14887.899666666666,2425.6666666666665,4.973333333333334,67.83333333333333
2008-07-01,163.566,571.0,62.2,477.0,419.0,615.0,831.0,372755.0,14898.999,2372.0,5.28,67.7
2008-08-01,161.987,543.0,62.0,435.0,409.0,607.0,712.0,360382.0,14802.069,2385.6666666666665,5.713333333333334,67.63333333333334
2008-09-01,160.308,529.0,61.9,433.0,395.0,537.0,820.0,348206.0,14705.139000000001,2399.3333333333335,6.1466666666666665,67.56666666666666
2008-10-01,158.327,469.0,61.7,393.0,381.0,542.0,749.0,336824.0,14608.209,2413.0,6.58,67.5
2008-11-01,156.142,420.0,61.4,389.0,371.0,459.0,754.0,320284.0,14549.106666666667,2402.3333333333335,7.056666666666667,67.46666666666667
2008-12-01,153.619,364.0,61.0,377.0,353.0,403.0,686.0,301332.0,14490.004333333334,2391.6666666666665,7.533333333333333,67.43333333333334
2009-01-01,151.507,337.0,60.6,336.0,341.0,358.0,566.0,291523.0,14430.902,2381.0,8.01,67.4
2009-02-01,150.015,377.0,60.3,372.0,326.0,358.0,535.0,276113.0,14414.346666666666,2380.6666666666665,8.196666666666667,67.4
2009-03-01,148.66,361.0,59.9,339.0,311.0,353.0,545.0,262528.0,14397.791333333334,2380.3333333333335,8.383333333333333,67.4
2009-04-01,147.94899999999998,391.0,59.8,337.0,300.0,387.0,532.0,251235.0,14381.236,2380.0,8.57,67.4
2009-05-01,147.694,431.0,59.6,376.0,291.0,408.0,492.0,244399.0,14403.784666666666,2367.0,8.873333333333333,67.4
2009-06-01,148.09,458.0,59.4,393.0,280.0,482.0,507.0,245226.0,14426.333333333334,2354.0,9.176666666666668,67.4
2009-07-01,148.41,489.0,59.3,411.0,270.0,509.0,500.0,252642.0,14448.882,2341.0,9.48,67.4
2009-08-01,148.278,491.0,59.1,418.0,261.0,487.0,517.0,258774.0,14516.337666666666,2360.6666666666665,9.786666666666667,67.33333333333334
2009-09-01,148.025,477.0,58.7,386.0,252.0,510.0,481.0,262509.0,14583.793333333333,2380.3333333333335,10.093333333333334,67.26666666666667
2009-10-01,147.85,472.0,58.5,396.0,243.0,476.0,526.0,263232.0,14651.249,2400.0,10.4,67.2
2009-11-01,148.134,483.0,58.6,375.0,237.0,497.0,567.0,263973.0,14689.036,2387.3333333333335,10.76,67.2
2009-12-01,147.929,508.0,58.3,352.0,234.0,484.0,493.0,264592.0,14726.823,2374.6666666666665,11.120000000000001,67.2
2010-01-01,147.39600000000002,504.0,58.5,345.0,233.0,510.0,448.0,263680.0,14764.61,2362.0,11.48,67.2
2010-02-01,145.631,510.0,58.5,336.0,231.0,526.0,456.0,263649.0,14836.471,2374.3333333333335,11.346666666666668,67.10000000000001
2010-03-01,145.859,536.0,58.5,381.0,227.0,542.0,491.0,263220.0,14908.332,2386.6666666666665,11.213333333333333,67.0
2010-04-01,146.403,476.0,58.7,422.0,217.0,566.0,556.0,264593.0,14980.193,2399.0,11.08,66.9
2010-05-01,146.394,435.0,58.6,280.0,216.0,457.0,518.0,263020.0,15033.997666666666,2394.3333333333335,10.94,66.83333333333334
2010-06-01,145.721,425.0,58.5,305.0,212.0,445.0,684.0,261202.0,15087.802333333333,2389.6666666666665,10.8,66.76666666666667
2010-07-01,144.991,411.0,58.5,283.0,209.0,426.0,470.0,254964.0,15141.607,2385.0,10.66,66.7
2010-08-01,143.916,402.0,58.6,282.0,206.0,417.0,473.0,249367.0,15197.562666666667,2392.6666666666665,10.55,66.63333333333334
2010-09-01,143.019,404.0,58.5,317.0,201.0,449.0,484.0,249015.0,15253.518333333333,2400.3333333333335,10.44,66.56666666666666
2010-10-01,142.531,408.0,58.3,291.0,199.0,438.0,479.0,247981.0,15309.474,2408.0,10.33,66.5
2010-11-01,142.173,418.0,58.2,287.0,195.0,452.0,432.0,248808.0,15323.465333333334,2446.3333333333335,10.34,66.5
2010-12-01,142.06,447.0,58.3,326.0,190.0,429.0,454.0,248929.0,15337.456666666667,2484.6666666666665,10.35,66.5
2011-01-01,141.52100000000002,420.0,58.3,307.0,187.0,430.0,423.0,250965.0,15351.448,2523.0,10.36,66.5
2011-02-01,140.35,379.0,58.4,270.0,183.0,391.0,481.0,249760.0,15420.145,2525.6666666666665,10.423333333333334,66.33333333333333
2011-03-01,139.981,399.0,58.4,300.0,179.0,429.0,368.0,251180.0,15488.842,2528.3333333333335,10.486666666666666,66.16666666666667
2011-04-01,140.01,403.0,58.4,310.0,173.0,415.0,433.0,253897.0,15557.539,2531.0,10.55,66.0
2011-05-01,139.905,411.0,58.3,305.0,168.0,414.0,443.0,254629.0,15587.586000000001,2515.3333333333335,10.536666666666667,66.03333333333333
2011-06-01,139.862,413.0,58.2,301.0,166.0,435.0,453.0,256286.0,15617.633,2499.6666666666665,10.523333333333333,66.06666666666666
2011-07-01,139.73,416.0,58.2,296.0,166.0,432.0,488.0,257737.0,15647.68,2484.0,10.51,66.1
2011-08-01,139.309,428.0,58.3,299.0,162.0,422.0,479.0,259960.0,15712.539666666667,2500.0,10.426666666666666,66.03333333333333
2011-09-01,138.668,425.0,58.4,304.0,160.0,418.0,426.0,258293.0,15777.399333333333,2516.0,10.343333333333334,65.96666666666667
2011-10-01,137.952,439.0,58.4,316.0,158.0,439.0,438.0,260305.0,15842.259,2532.0,10.26,65.9
2011-11-01,137.15200000000002,449.0,58.6,328.0,155.0,465.0,462.0,254401.0,15917.774333333333,2536.6666666666665,10.283333333333333,65.8
2011-12-01,136.674,458.0,58.6,341.0,151.0,522.0,462.0,255090.0,15993.289666666667,2541.3333333333335,10.306666666666667,65.7
2012-01-01,136.607,462.0,58.4,335.0,149.0,518.0,392.0,259223.0,16068.805,2546.0,10.33,65.6
2012-02-01,136.533,493.0,58.5,366.0,147.0,466.0,421.0,254120.0,16114.908333333333,2528.6666666666665,10.37,65.6
2012-03-01,137.904,482.0,58.5,354.0,145.0,472.0,434.0,258662.0,16161.011666666667,2511.3333333333335,10.41,65.6
2012-04-01,139.154,485.0,58.4,354.0,144.0,504.0,494.0,265032.0,16207.115,2494.0,10.45,65.6
2012-05-01,140.155,494.0,58.5,370.0,144.0,518.0,475.0,269833.0,16244.590333333334,2491.6666666666665,10.456666666666667,65.53333333333333
2012-06-01,141.03,501.0,58.6,360.0,145.0,524.0,482.0,275699.0,16282.065666666665,2489.3333333333335,10.463333333333333,65.46666666666667
2012-07-01,141.66899999999998,522.0,58.5,369.0,142.0,517.0,474.0,279707.0,16319.541,2487.0,10.47,65.4
2012-08-01,142.279,517.0,58.4,375.0,143.0,536.0,492.0,285467.0,16353.167,2515.3333333333335,10.32,65.36666666666667
2012-09-01,142.908,562.0,58.7,385.0,144.0,594.0,512.0,292076.0,16386.793,2543.6666666666665,10.17,65.33333333333333
2012-10-01,143.6,568.0,58.8,358.0,147.0,611.0,525.0,300200.0,16420.419,2572.0,10.02,65.3
2012-11-01,144.585,568.0,58.7,392.0,150.0,569.0,513.0,302823.0,16496.342333333334,2611.0,9.926666666666666,65.26666666666667
2012-12-01,145.503,582.0,58.7,399.0,150.0,615.0,525.0,305105.0,16572.265666666666,2650.0,9.833333333333334,65.23333333333333
2013-01-01,146.827,590.0,58.6,446.0,149.0,604.0,556.0,309893.0,16648.189,2689.0,9.74,65.2
2013-02-01,147.784,612.0,58.6,447.0,152.0,651.0,578.0,314633.0,16675.021666666667,2674.6666666666665,9.6,65.16666666666667
2013-03-01,149.963,610.0,58.5,444.0,155.0,624.0,604.0,318708.0,16701.854333333333,2660.3333333333335,9.46,65.13333333333333
2013-04-01,151.519,620.0,58.6,441.0,161.0,587.0,524.0,322768.0,16728.687,2646.0,9.32,65.1
2013-05-01,152.85,623.0,58.6,428.0,163.0,608.0,549.0,327919.0,16803.737333333334,2664.3333333333335,9.1,65.13333333333333
2013-06-01,154.2,628.0,58.6,470.0,161.0,614.0,532.0,330608.0,16878.787666666667,2682.6666666666665,8.88,65.16666666666667
2013-07-01,155.60399999999998,619.0,58.7,375.0,171.0,593.0,578.0,334273.0,16953.838,2701.0,8.66,65.2
2013-08-01,156.965,635.0,58.7,381.0,175.0,631.0,571.0,341543.0,17033.231666666667,2686.0,8.540000000000001,65.16666666666667
2013-09-01,158.227,625.0,58.7,403.0,183.0,577.0,577.0,345327.0,17112.625333333333,2671.0,8.42,65.13333333333333
